#TAXON,TAXID,NAME
no rank,348989,Influenza A virus (A/Philippines/C3-53/2002(H3N2))
no rank,348992,Influenza A virus (A/Philippines/C3-56/2002(H3N2))
no rank,348993,Influenza A virus (A/Philippines/C3-57/2002(H3N2))
no rank,1737263,Influenza A virus (A/Philippines/FLU_AFPA_00013/2011(H3N2))
no rank,1737264,Influenza A virus (A/Philippines/FLU_AFPA_00063/2012(H3N2))
no rank,1737265,Influenza A virus (A/Philippines/FLU_PHB_0332/2011(H3N2))
no rank,1737266,Influenza A virus (A/Philippines/FLU_PHB_0334/2011(H3N2))
no rank,1737267,Influenza A virus (A/Philippines/FLU_PHB_0341/2011(H3N2))
no rank,1737268,Influenza A virus (A/Philippines/FLU_PHC_0105_CP2/2009(H3N2))
no rank,1737269,Influenza A virus (A/Philippines/FLU_PHC_0284/2011(H3N2))
no rank,1737270,Influenza A virus (A/Philippines/FLU_PHC_0304/2011(H3N2))
no rank,1737271,Influenza A virus (A/Philippines/FLU_PHD_0142_CP2/2009(H3N2))
no rank,2006024,Influenza A virus (A/Philippines/NHRC_MCY0116/2016(H3N2))
no rank,2006025,Influenza A virus (A/Philippines/NHRC_MCY0124/2016(H3N2))
no rank,2006026,Influenza A virus (A/Philippines/NHRC_MCY0131/2016(H3N2))
no rank,1676112,Influenza A virus (A/Philippines/NHRC_PEL0258/2014(H3N2))
no rank,1676113,Influenza A virus (A/Philippines/NHRC_PEL0259/2014(H3N2))
no rank,1676114,Influenza A virus (A/Philippines/NHRC_PEL0260/2014(H3N2))
no rank,521243,Influenza A virus (A/Philippines/PH-1159050/2002(H3N2))
no rank,1124772,Influenza A virus (A/Philippines/TMC10-81/2010(H3N2))
no rank,1124773,Influenza A virus (A/Philippines/TMC10-83/2010(H3N2))
no rank,1073426,Influenza A virus (A/Philippines/TMC10_105/2010(H3N2))
no rank,1073427,Influenza A virus (A/Philippines/TMC10_113/2010(H3N2))
no rank,1073428,Influenza A virus (A/Philippines/TMC10_83/2010(H3N2))
no rank,1073429,Influenza A virus (A/Philippines/TMC10_86/2010(H3N2))
no rank,1073430,Influenza A virus (A/Philippines/TMC10_96/2010(H3N2))
no rank,1124774,Influenza A virus (A/Philippines/TMC11-13/2011(H3N2))
no rank,1231081,Influenza A virus (A/Philippines/TMC12-27/2012(H3N2))
no rank,1231080,Influenza A virus (A/Philippines/TMC12-30/2012(H3N2))
no rank,1599392,Influenza A virus (A/Philippinese/3967/2008(H3N2))
no rank,1099955,Influenza A virus (A/Piaui/14202/2011(H3N2))
no rank,1099956,Influenza A virus (A/Piaui/14211/2011(H3N2))
no rank,1099957,Influenza A virus (A/Piaui/4751/2011(H3N2))
no rank,1099958,Influenza A virus (A/Piaui/8448/2011(H3N2))
no rank,1674977,Influenza A virus (A/pigeon/Guangxi/128P9/2012(H3N2))
no rank,327301,Influenza A virus (A/Pingtung/303/04(H3N2))
no rank,327300,Influenza A virus (A/Pingtung/313/04(H3N2))
no rank,352670,Influenza A virus (A/pintail duck/ALB/627/1979(H3N2))
no rank,352677,Influenza A virus (A/pintail duck/ALB/86/1976(H3N2))
no rank,539949,Influenza A virus (A/pintail duck/South Dakota/Sg-00126/2007(H3N2))
no rank,1445133,Influenza A virus (A/pintail/Wisconsin/122/1978(H3N2))
no rank,1445134,Influenza A virus (A/pintail/Wisconsin/424/1976(H3N2))
no rank,1090202,Influenza A virus (A/Piste/5063-SS/2009(H3N2))
no rank,507224,Influenza A virus (A/Piura/FLU3638/2006(H3N2))
no rank,507225,Influenza A virus (A/Piura/FLU3646/2006(H3N2))
no rank,507234,Influenza A virus (A/Piura/FLU5748/2007(H3N2))
no rank,507236,Influenza A virus (A/Piura/FLU6670/2007(H3N2))
no rank,507239,Influenza A virus (A/Piura/FLU8639/2007(H3N2))
no rank,507241,Influenza A virus (A/Piura/FLU8655/2007(H3N2))
no rank,507345,Influenza A virus (A/Piura/FLU9207/2007(H3N2))
no rank,507346,Influenza A virus (A/Piura/FLU9212/2007(H3N2))
no rank,507347,Influenza A virus (A/Piura/FLU9298/2007(H3N2))
no rank,507348,Influenza A virus (A/Piura/FLU9359/2007(H3N2))
no rank,507349,Influenza A virus (A/Piura/FLU9612/2007(H3N2))
no rank,507350,Influenza A virus (A/Piura/FLU9620/2007(H3N2))
no rank,507351,Influenza A virus (A/Piura/FLU9625/2007(H3N2))
no rank,1737272,Influenza A virus (A/Piura/FPP00919/2011(H3N2))
no rank,1737273,Influenza A virus (A/Piura/FPP01106/2011(H3N2))
no rank,507245,Influenza A virus (A/Piura/FSP1261/2006(H3N2))
no rank,507246,Influenza A virus (A/Piura/FSP1277/2006(H3N2))
no rank,1599396,Influenza A virus (A/Poitiers/1071/2010(H3N2))
no rank,1599397,Influenza A virus (A/Poitiers/1341/2008(H3N2))
no rank,497395,Influenza A virus (A/Poitiers/484/2005(H3N2))
no rank,514777,Influenza A virus (A/POITIERS/62/2002(H3N2))
no rank,514778,Influenza A virus (A/POITIERS/719/2004(H3N2))
no rank,349011,Influenza A virus (A/Poland/C4-17/2003(H3N2))
no rank,385624,Influenza A virus (A/Port Chalmers/1/1973(H3N2))
no rank,393554,Influenza A virus (A/Port Chalmers/1/1973-mouse adapted(H3N2))
no rank,1343784,Influenza A virus (A/Port Chalmers/JY2/1973(H3N2))
no rank,1599398,Influenza A virus (A/Port Moresby/13/2009(H3N2))
no rank,1978644,Influenza A virus (A/Porto Alegre/LACENRS-1013/2016(H3N2))
no rank,1978645,Influenza A virus (A/Porto Alegre/LACENRS-1030/2015(H3N2))
no rank,1978647,Influenza A virus (A/Porto Alegre/LACENRS-1075/2015(H3N2))
no rank,1978648,Influenza A virus (A/Porto Alegre/LACENRS-1112/2015(H3N2))
no rank,1979338,Influenza A virus (A/Porto Alegre/LACENRS-1155/2015(H3N2))
no rank,1978651,Influenza A virus (A/Porto Alegre/LACENRS-1351/2014(H3N2))
no rank,1978654,Influenza A virus (A/Porto Alegre/LACENRS-1406/2014(H3N2))
no rank,1978655,Influenza A virus (A/Porto Alegre/LACENRS-1447/2014(H3N2))
no rank,1978659,Influenza A virus (A/Porto Alegre/LACENRS-1738/2015(H3N2))
no rank,1978663,Influenza A virus (A/Porto Alegre/LACENRS-1887/2015(H3N2))
no rank,1978664,Influenza A virus (A/Porto Alegre/LACENRS-1969/2015(H3N2))
no rank,1978665,Influenza A virus (A/Porto Alegre/LACENRS-2021/2014(H3N2))
no rank,1978667,Influenza A virus (A/Porto Alegre/LACENRS-2232/2014(H3N2))
no rank,1978671,Influenza A virus (A/Porto Alegre/LACENRS-2376/2014(H3N2))
no rank,1978674,Influenza A virus (A/Porto Alegre/LACENRS-275/2013(H3N2))
no rank,1978681,Influenza A virus (A/Porto Alegre/LACENRS-557/2011(H3N2))
no rank,1978683,Influenza A virus (A/Porto Alegre/LACENRS-820/2015(H3N2))
no rank,1978684,Influenza A virus (A/Porto Alegre/LACENRS-822/2011(H3N2))
no rank,1978686,Influenza A virus (A/Porto Alegre/LACENRS-846/2015(H3N2))
no rank,1978688,Influenza A virus (A/Porto Alegre/LACENRS-921/2015(H3N2))
no rank,1904407,Influenza A virus (A/Prachuap Khiri Khan/137/2013(H3N2))
no rank,1737274,Influenza A virus (A/Prague/1514A06404885N/2012(H3N2))
no rank,514779,Influenza A virus (A/PRAGUE/3/2002(H3N2))
no rank,514780,Influenza A virus (A/PRAGUE/34/2003(H3N2))
no rank,1599400,Influenza A virus (A/Prague/63/2009(H3N2))
no rank,438250,Influenza A virus (A/Prajianburi/1411/2004(H3N2))
no rank,247962,Influenza A virus (A/Pretoria/16/03(H3N2))
no rank,247963,Influenza A virus (A/Pretoria/17/03(H3N2))
no rank,247961,Influenza A virus (A/Pretoria/2/03(H3N2))
no rank,1737275,Influenza A virus (A/Pristina/1514A06505401N/2013(H3N2))
no rank,1090171,Influenza A virus (A/Progreso/3475-SS/2009(H3N2))
no rank,1090195,Influenza A virus (A/Progreso/4154-SS/2009(H3N2))
no rank,1090196,Influenza A virus (A/Progreso/4938-SS/2009(H3N2))
no rank,1090205,Influenza A virus (A/Progreso/5100-SS/2009(H3N2))
no rank,1090210,Influenza A virus (A/Progreso/5112-SS/2009(H3N2))
no rank,1737276,Influenza A virus (A/Pucallpa/FPU00363/2011(H3N2))
no rank,1737277,Influenza A virus (A/Pucallpa/FPU00370/2011(H3N2))
no rank,1868483,Influenza A virus (A/Puducherry/JOP-562/2013(H3N2))
no rank,1868484,Influenza A virus (A/Puducherry/POP-242/2013(H3N2))
no rank,1737278,Influenza A virus (A/Puerto Maldonado/FPM00365/2011(H3N2))
no rank,107478,Influenza A virus (A/Puerto Rico/1/97(H3N2))
no rank,1168910,Influenza A virus (A/Puerto Rico/AF2812/2012(H3N2))
no rank,1168917,Influenza A virus (A/Puerto Rico/AF2819/2012(H3N2))
no rank,62407,Influenza A virus (A/Puerto_Rico/1/90(H3N2))
no rank,221006,Influenza A virus (A/PuertoRico/1/68(H3N2))
no rank,221023,Influenza A virus (A/PuertoRico/3/72(H3N2))
no rank,1599404,Influenza A virus (A/Pune/025502/2002(H3N2))
no rank,1599405,Influenza A virus (A/Pune/025506/2002(H3N2))
no rank,1599406,Influenza A virus (A/Pune/031741/2003(H3N2))
no rank,1599407,Influenza A virus (A/Pune/032699/2003(H3N2))
no rank,1599408,Influenza A virus (A/Pune/038072/2003(H3N2))
no rank,1599409,Influenza A virus (A/Pune/038254/2003(H3N2))
no rank,1599423,Influenza A virus (A/Pune/0614474/2006(H3N2))
no rank,1599426,Influenza A virus (A/Pune/0618457/2006(H3N2))
no rank,1599428,Influenza A virus (A/Pune/0618976/2006(H3N2))
no rank,1599429,Influenza A virus (A/Pune/0622622/2006(H3N2))
no rank,1599432,Influenza A virus (A/Pune/063078/2006(H3N2))
no rank,1599433,Influenza A virus (A/Pune/0713435/2007(H3N2))
no rank,1599434,Influenza A virus (A/Pune/0715484/2007(H3N2))
no rank,1599435,Influenza A virus (A/Pune/0715485/2007(H3N2))
no rank,1599438,Influenza A virus (A/Pune/076064/2007(H3N2))
no rank,1599444,Influenza A virus (A/Pune/076175/2007(H3N2))
no rank,1599445,Influenza A virus (A/Pune/076176/2007(H3N2))
no rank,1599446,Influenza A virus (A/Pune/076178/2007(H3N2))
no rank,1599458,Influenza A virus (A/Pune/077594/2007(H3N2))
no rank,1599459,Influenza A virus (A/Pune/077595/2007(H3N2))
no rank,1599461,Influenza A virus (A/Pune/077597/2007(H3N2))
no rank,1599464,Influenza A virus (A/Pune/083571/2008(H3N2))
no rank,1599468,Influenza A virus (A/Pune/1019850/2010(H3N2))
no rank,1599469,Influenza A virus (A/Pune/1019858/2010(H3N2))
no rank,1599470,Influenza A virus (A/Pune/1025246/2010(H3N2))
no rank,1599471,Influenza A virus (A/Pune/1033310/2010(H3N2))
no rank,1599472,Influenza A virus (A/Pune/1033404/2010(H3N2))
no rank,507253,Influenza A virus (A/Puno/FLU6608/2007(H3N2))
no rank,507254,Influenza A virus (A/Puno/FLU7335/2007(H3N2))
no rank,1737279,Influenza A virus (A/Puno/IPE00792/2011(H3N2))
no rank,163771,Influenza A virus (A/Pusan/10/98(H3N2))
no rank,271606,Influenza A virus (A/Pusan/504/2002(H3N2))
no rank,1599475,Influenza A virus (A/Pusan/66/2001(H3N2))
no rank,163787,Influenza A virus (A/Pusan/68/98(H3N2))
no rank,163792,Influenza A virus (A/Pusan/71/99(H3N2))
no rank,357293,Influenza A virus (A/Qatar/2039/2005(H3N2))
no rank,521450,Influenza A virus (A/Qatar/AF02/2008(H3N2))
no rank,510278,Influenza A virus (A/Qatar/AF1164/2008(H3N2))
no rank,530394,Influenza A virus (A/Qatar/AF1550/2008(H3N2))
no rank,530395,Influenza A virus (A/Qatar/AF1551/2008(H3N2))
no rank,530396,Influenza A virus (A/Qatar/AF1552/2008(H3N2))
no rank,530397,Influenza A virus (A/Qatar/AF1553/2008(H3N2))
no rank,530398,Influenza A virus (A/Qatar/AF1554/2008(H3N2))
no rank,530399,Influenza A virus (A/Qatar/AF1555/2008(H3N2))
no rank,530400,Influenza A virus (A/Qatar/AF1556/2008(H3N2))
no rank,530401,Influenza A virus (A/Qatar/AF1557/2008(H3N2))
no rank,535648,Influenza A virus (A/Qatar/AF1733/2008(H3N2))
no rank,535649,Influenza A virus (A/Qatar/AF1734/2008(H3N2))
no rank,535650,Influenza A virus (A/Qatar/AF1746/2008(H3N2))
no rank,62571,Influenza A virus (A/Qingdao/10/1987(H3N2))
no rank,691311,Influenza A virus (A/Qingdao/1045/2009(H3N2))
no rank,691310,Influenza A virus (A/Qingdao/1046/2009(H3N2))
no rank,691309,Influenza A virus (A/Qingdao/1115/2009(H3N2))
no rank,691308,Influenza A virus (A/Qingdao/1116/2009(H3N2))
no rank,691307,Influenza A virus (A/Qingdao/1118/2009(H3N2))
no rank,691306,Influenza A virus (A/Qingdao/1157/2009(H3N2))
no rank,691305,Influenza A virus (A/Qingdao/1158/2009(H3N2))
no rank,691304,Influenza A virus (A/Qingdao/1167/2009(H3N2))
no rank,691303,Influenza A virus (A/Qingdao/1231/2009(H3N2))
no rank,691302,Influenza A virus (A/Qingdao/1295/2009(H3N2))
no rank,691301,Influenza A virus (A/Qingdao/1329/2009(H3N2))
no rank,691300,Influenza A virus (A/Qingdao/1341/2009(H3N2))
no rank,691299,Influenza A virus (A/Qingdao/1346/2009(H3N2))
no rank,691315,Influenza A virus (A/Qingdao/2144/2009(H3N2))
no rank,691313,Influenza A virus (A/Qingdao/2157/2009(H3N2))
no rank,691314,Influenza A virus (A/Qingdao/2162/2009(H3N2))
no rank,691851,Influenza A virus (A/Qingdao/2168/2009(H3N2))
no rank,691312,Influenza A virus (A/Qingdao/2181/2009(H3N2))
no rank,691850,Influenza A virus (A/Qingdao/2182/2009(H3N2))
no rank,691317,Influenza A virus (A/Qingdao/2199/2009(H3N2))
no rank,691316,Influenza A virus (A/Qingdao/2200/2009(H3N2))
no rank,1144003,Influenza A virus (A/Qingdao/242/1989(H3N2))
no rank,1144004,Influenza A virus (A/Qingdao/27/1983(H3N2))
no rank,1144005,Influenza A virus (A/Qingdao/33/1989(H3N2))
no rank,691848,Influenza A virus (A/Qingdao/505/2009(H3N2))
no rank,1144006,Influenza A virus (A/Qingdao/51/1984(H3N2))
no rank,691849,Influenza A virus (A/Qingdao/522/2009(H3N2))
no rank,1144007,Influenza A virus (A/Qingdao/53/1992(H3N2))
no rank,1144008,Influenza A virus (A/Qingdao/57/1992(H3N2))
no rank,1144009,Influenza A virus (A/Qingdao/9/1990(H3N2))
no rank,1241374,Influenza A virus (A/Qingdao/F105/2007(H3N2))
no rank,1241375,Influenza A virus (A/Qingdao/F106/2007(H3N2))
no rank,1241376,Influenza A virus (A/Qingdao/F107/2007(H3N2))
no rank,1241377,Influenza A virus (A/Qingdao/F117/2007(H3N2))
no rank,1241378,Influenza A virus (A/Qingdao/F144/2009(H3N2))
no rank,1241379,Influenza A virus (A/Qingdao/F162/2009(H3N2))
no rank,1241380,Influenza A virus (A/Qingdao/F165/2010(H3N2))
no rank,1241381,Influenza A virus (A/Qingdao/F194/2008(H3N2))
no rank,1241382,Influenza A virus (A/Qingdao/F206/2008(H3N2))
no rank,1241383,Influenza A virus (A/Qingdao/F218/2009(H3N2))
no rank,1241384,Influenza A virus (A/Qingdao/F273/2009(H3N2))
no rank,1241385,Influenza A virus (A/Qingdao/F303/2008(H3N2))
no rank,1241386,Influenza A virus (A/Qingdao/F325/2009(H3N2))
no rank,1241387,Influenza A virus (A/Qingdao/F337/2011(H3N2))
no rank,1241388,Influenza A virus (A/Qingdao/F339/2009(H3N2))
no rank,1241389,Influenza A virus (A/Qingdao/F355/2009(H3N2))
no rank,1241390,Influenza A virus (A/Qingdao/F365/2009(H3N2))
no rank,1241391,Influenza A virus (A/Qingdao/F374/2011(H3N2))
no rank,1241392,Influenza A virus (A/Qingdao/F391/2011(H3N2))
no rank,1241393,Influenza A virus (A/Qingdao/F435/2009(H3N2))
no rank,1241394,Influenza A virus (A/Qingdao/F436/2009(H3N2))
no rank,1241395,Influenza A virus (A/Qingdao/F437/2009(H3N2))
no rank,1241396,Influenza A virus (A/Qingdao/F471/2009(H3N2))
no rank,1241397,Influenza A virus (A/Qingdao/F49/2010(H3N2))
no rank,1241398,Influenza A virus (A/Qingdao/F521/2011(H3N2))
no rank,1241399,Influenza A virus (A/Qingdao/F53/2010(H3N2))
no rank,1241400,Influenza A virus (A/Qingdao/F69/2010(H3N2))
no rank,1241401,Influenza A virus (A/Qingdao/F78/2010(H3N2))
no rank,1241402,Influenza A virus (A/Qingdao/F81/2010(H3N2))
no rank,1241403,Influenza A virus (A/Qingdao/F94/2007(H3N2))
no rank,1241404,Influenza A virus (A/Qingdao/F99/2007(H3N2))
no rank,1241405,Influenza A virus (A/Qingdao/FF159/2010(H3N2))
no rank,1241406,Influenza A virus (A/Qingdao/FF164/2010(H3N2))
no rank,1241407,Influenza A virus (A/Qingdao/FF184/2010(H3N2))
no rank,1241408,Influenza A virus (A/Qingdao/FF192/2010(H3N2))
no rank,1241409,Influenza A virus (A/Qingdao/FF76/2009(H3N2))
no rank,1241410,Influenza A virus (A/Qingdao/FF78/2009(H3N2))
no rank,1241411,Influenza A virus (A/Qingdao/S57/2008(H3N2))
no rank,1241412,Influenza A virus (A/Qingdao/X295/2009(H3N2))
no rank,1144010,Influenza A virus (A/Qingfang/23/1983(H3N2))
no rank,751479,Influenza A virus (A/Qinghai-Chengzhong/12/2006(H3N2))
no rank,751480,Influenza A virus (A/Qinghai-Chengzhong/255/2007(H3N2))
no rank,751481,Influenza A virus (A/Qinghai-Chengzhong/256/2007(H3N2))
no rank,751482,Influenza A virus (A/Qinghai-Chengzhong/8/2006(H3N2))
no rank,751483,Influenza A virus (A/Qinghai-Gangcha/1117/2007(H3N2))
no rank,751484,Influenza A virus (A/Qinghai-Gangcha/112/2007(H3N2))
no rank,751485,Influenza A virus (A/Qinghai-Gangcha/1126/2007(H3N2))
no rank,751486,Influenza A virus (A/Qinghai-Gangcha/1129/2007(H3N2))
no rank,751487,Influenza A virus (A/Qinghai-Gangcha/113/2007(H3N2))
no rank,751488,Influenza A virus (A/Qinghai-Huangzhong/16/2007(H3N2))
no rank,1144011,Influenza A virus (A/Qinghai/16/2003(H3N2))
no rank,1913641,Influenza A virus (A/Qinghai/178/2010(H3N2))
no rank,1144012,Influenza A virus (A/Qinghai/7/2003(H3N2))
no rank,1144013,Influenza A virus (A/Qitie/9/1994(H3N2))
no rank,940814,Influenza A virus (A/quail/QC/FAV-10/2008(H3N2))
no rank,750981,Influenza A virus (A/Quanzhou/210/2004(H3N2))
no rank,750982,Influenza A virus (A/Quanzhou/218/2004(H3N2))
no rank,1978691,Influenza A virus (A/Quarai/LACENRS-3508/2013(H3N2))
no rank,1162895,Influenza A virus (A/Quebec/001/2010(H3N2))
no rank,1954945,Influenza A virus (A/Quebec/001/2017(H3N2))
no rank,1162896,Influenza A virus (A/Quebec/002/2010(H3N2))
no rank,1954946,Influenza A virus (A/Quebec/002/2017(H3N2))
no rank,1162897,Influenza A virus (A/Quebec/003/2010(H3N2))
no rank,1954947,Influenza A virus (A/Quebec/003/2017(H3N2))
no rank,1162898,Influenza A virus (A/Quebec/004/2010(H3N2))
no rank,1394947,Influenza A virus (A/Quebec/004/2012(H3N2))
no rank,1954948,Influenza A virus (A/Quebec/004/2017(H3N2))
no rank,1162899,Influenza A virus (A/Quebec/005/2010(H3N2))
no rank,1394948,Influenza A virus (A/Quebec/005/2012(H3N2))
no rank,1162900,Influenza A virus (A/Quebec/006/2010(H3N2))
no rank,1394949,Influenza A virus (A/Quebec/006/2012(H3N2))
no rank,1162901,Influenza A virus (A/Quebec/007/2011(H3N2))
no rank,1162902,Influenza A virus (A/Quebec/008/2011(H3N2))
no rank,1162903,Influenza A virus (A/Quebec/009/2011(H3N2))
no rank,1954949,Influenza A virus (A/Quebec/009/2017(H3N2))
no rank,1162904,Influenza A virus (A/Quebec/010/2011(H3N2))
no rank,1394953,Influenza A virus (A/Quebec/010/2012(H3N2))
no rank,1162905,Influenza A virus (A/Quebec/011/2011(H3N2))
no rank,1287766,Influenza A virus (A/Quebec/011/2012(H3N2))
no rank,1162906,Influenza A virus (A/Quebec/012/2011(H3N2))
no rank,1287767,Influenza A virus (A/Quebec/012/2012(H3N2))
no rank,1162907,Influenza A virus (A/Quebec/013/2011(H3N2))
no rank,1287768,Influenza A virus (A/Quebec/013/2012(H3N2))
no rank,1162908,Influenza A virus (A/Quebec/014/2011(H3N2))
no rank,1287769,Influenza A virus (A/Quebec/014/2012(H3N2))
no rank,1162909,Influenza A virus (A/Quebec/015/2011(H3N2))
no rank,1287770,Influenza A virus (A/Quebec/015/2012(H3N2))
no rank,1162910,Influenza A virus (A/Quebec/016/2011(H3N2))
no rank,1287771,Influenza A virus (A/Quebec/016/2012(H3N2))
no rank,1162911,Influenza A virus (A/Quebec/017/2011(H3N2))
no rank,1287772,Influenza A virus (A/Quebec/017/2012(H3N2))
no rank,1162912,Influenza A virus (A/Quebec/018/2011(H3N2))
no rank,1287773,Influenza A virus (A/Quebec/018/2012(H3N2))
no rank,1162913,Influenza A virus (A/Quebec/019/2011(H3N2))
no rank,1287774,Influenza A virus (A/Quebec/019/2012(H3N2))
no rank,1162914,Influenza A virus (A/Quebec/020/2011(H3N2))
no rank,1287775,Influenza A virus (A/Quebec/020/2012(H3N2))
no rank,1162915,Influenza A virus (A/Quebec/021/2011(H3N2))
no rank,1287776,Influenza A virus (A/Quebec/021/2012(H3N2))
no rank,1162916,Influenza A virus (A/Quebec/022/2011(H3N2))
no rank,1287777,Influenza A virus (A/Quebec/022/2012(H3N2))
no rank,1162917,Influenza A virus (A/Quebec/023/2011(H3N2))
no rank,1287778,Influenza A virus (A/Quebec/023/2012(H3N2))
no rank,1162918,Influenza A virus (A/Quebec/024/2011(H3N2))
no rank,1287779,Influenza A virus (A/Quebec/024/2012(H3N2))
no rank,1162919,Influenza A virus (A/Quebec/025/2011(H3N2))
no rank,1287780,Influenza A virus (A/Quebec/025/2012(H3N2))
no rank,1162920,Influenza A virus (A/Quebec/026/2011(H3N2))
no rank,1287781,Influenza A virus (A/Quebec/026/2012(H3N2))
no rank,1162921,Influenza A virus (A/Quebec/027/2011(H3N2))
no rank,1162922,Influenza A virus (A/Quebec/028/2011(H3N2))
no rank,1287782,Influenza A virus (A/Quebec/028/2012(H3N2))
no rank,1162923,Influenza A virus (A/Quebec/029/2011(H3N2))
no rank,1287783,Influenza A virus (A/Quebec/029/2012(H3N2))
no rank,1605084,Influenza A virus (A/Quebec/03/2015(H3N2))
no rank,1162924,Influenza A virus (A/Quebec/030/2011(H3N2))
no rank,1287784,Influenza A virus (A/Quebec/030/2012(H3N2))
no rank,1162925,Influenza A virus (A/Quebec/031/2011(H3N2))
no rank,1287785,Influenza A virus (A/Quebec/031/2012(H3N2))
no rank,1162926,Influenza A virus (A/Quebec/032/2011(H3N2))
no rank,1162927,Influenza A virus (A/Quebec/033/2011(H3N2))
no rank,1287786,Influenza A virus (A/Quebec/033/2012(H3N2))
no rank,1162928,Influenza A virus (A/Quebec/034/2011(H3N2))
no rank,1287787,Influenza A virus (A/Quebec/034/2012(H3N2))
no rank,1162929,Influenza A virus (A/Quebec/035/2011(H3N2))
no rank,1287788,Influenza A virus (A/Quebec/035/2012(H3N2))
no rank,1287789,Influenza A virus (A/Quebec/036/2012(H3N2))
no rank,1287790,Influenza A virus (A/Quebec/037/2012(H3N2))
no rank,1287791,Influenza A virus (A/Quebec/038/2012(H3N2))
no rank,1287792,Influenza A virus (A/Quebec/039/2012(H3N2))
no rank,1412419,Influenza A virus (A/Quebec/06/2013(H3N2))
no rank,1412420,Influenza A virus (A/Quebec/07/2013(H3N2))
no rank,1605085,Influenza A virus (A/Quebec/07/2015(H3N2))
no rank,1412422,Influenza A virus (A/Quebec/09/2013(H3N2))
no rank,1605086,Influenza A virus (A/Quebec/09/2015(H3N2))
no rank,1804507,Influenza A virus (A/Quebec/10/2015(H3N2))
no rank,1605087,Influenza A virus (A/Quebec/100/2014(H3N2))
no rank,551589,Influenza A virus (A/Quebec/1031/2007(H3N2))
no rank,551590,Influenza A virus (A/Quebec/1038/2007(H3N2))
no rank,551591,Influenza A virus (A/Quebec/1039/2007(H3N2))
no rank,1605088,Influenza A virus (A/Quebec/104/2014(H3N2))
no rank,1605089,Influenza A virus (A/Quebec/105/2014(H3N2))
no rank,1605090,Influenza A virus (A/Quebec/106/2014(H3N2))
no rank,1605091,Influenza A virus (A/Quebec/107/2014(H3N2))
no rank,1605092,Influenza A virus (A/Quebec/109/2014(H3N2))
no rank,1412423,Influenza A virus (A/Quebec/11/2013(H3N2))
no rank,1804508,Influenza A virus (A/Quebec/11/2015(H3N2))
no rank,1605093,Influenza A virus (A/Quebec/110/2014(H3N2))
no rank,1605094,Influenza A virus (A/Quebec/111/2014(H3N2))
no rank,1605095,Influenza A virus (A/Quebec/112/2014(H3N2))
no rank,1605096,Influenza A virus (A/Quebec/113/2014(H3N2))
no rank,1605097,Influenza A virus (A/Quebec/116/2014(H3N2))
no rank,1605098,Influenza A virus (A/Quebec/117/2014(H3N2))
no rank,1605099,Influenza A virus (A/Quebec/118/2014(H3N2))
no rank,1605100,Influenza A virus (A/Quebec/119/2014(H3N2))
no rank,1412424,Influenza A virus (A/Quebec/12/2013(H3N2))
no rank,1804509,Influenza A virus (A/Quebec/12/2015(H3N2))
no rank,1605101,Influenza A virus (A/Quebec/120/2014(H3N2))
no rank,1605102,Influenza A virus (A/Quebec/122/2014(H3N2))
no rank,1605103,Influenza A virus (A/Quebec/123/2014(H3N2))
no rank,1605104,Influenza A virus (A/Quebec/124/2014(H3N2))
no rank,1605105,Influenza A virus (A/Quebec/125/2014(H3N2))
no rank,1605106,Influenza A virus (A/Quebec/127/2014(H3N2))
no rank,1412425,Influenza A virus (A/Quebec/13/2013(H3N2))
no rank,1804510,Influenza A virus (A/Quebec/13/2015(H3N2))
no rank,1605107,Influenza A virus (A/Quebec/131/2014(H3N2))
no rank,1605108,Influenza A virus (A/Quebec/132/2014(H3N2))
no rank,1605109,Influenza A virus (A/Quebec/133/2014(H3N2))
no rank,1605110,Influenza A virus (A/Quebec/134/2014(H3N2))
no rank,1804511,Influenza A virus (A/Quebec/137/2014(H3N2))
no rank,1804512,Influenza A virus (A/Quebec/138/2014(H3N2))
no rank,1804513,Influenza A virus (A/Quebec/139/2014(H3N2))
no rank,1412426,Influenza A virus (A/Quebec/14/2013(H3N2))
no rank,1804514,Influenza A virus (A/Quebec/14/2015(H3N2))
no rank,1030621,Influenza A virus (A/Quebec/142538/2009(H3N2))
no rank,1030622,Influenza A virus (A/Quebec/142614/2009(H3N2))
no rank,1030623,Influenza A virus (A/Quebec/142615/2009(H3N2))
no rank,1030624,Influenza A virus (A/Quebec/142836/2009(H3N2))
no rank,1030625,Influenza A virus (A/Quebec/142927/2009(H3N2))
no rank,1030626,Influenza A virus (A/Quebec/143438/2009(H3N2))
no rank,1030627,Influenza A virus (A/Quebec/143653/2009(H3N2))
no rank,1030628,Influenza A virus (A/Quebec/143748/2009(H3N2))
no rank,1030629,Influenza A virus (A/Quebec/143791/2009(H3N2))
no rank,1804515,Influenza A virus (A/Quebec/15/2015(H3N2))
no rank,2007727,Influenza A virus (A/Quebec/152/2016(H3N2))
no rank,2007731,Influenza A virus (A/Quebec/159/2016(H3N2))
no rank,1804516,Influenza A virus (A/Quebec/16/2015(H3N2))
no rank,1954950,Influenza A virus (A/Quebec/162/2016(H3N2))
no rank,1954951,Influenza A virus (A/Quebec/163/2016(H3N2))
no rank,1030630,Influenza A virus (A/Quebec/165987/2010(H3N2))
